"QB","RB","RB","WR","WR","WR","TE","FLEX","DEF"

Andy Dalton,,,A.J. Green,,,,,Eagles
Andy Dalton,,,,,,Tyler Eifert,,Patriots
Johnny Manziel,,,Terrance Williams,,,,,Eagles
Johnny Manziel,,,A.J. Green,,,,,Patriots
Eli Manning,,,Odell Beckham Jr.,,,,,Eagles
Eli Manning,,,Rueben Randle,,,,,Cardinals
Eli Manning,,,Odell Beckham Jr.,,,,,Patriots
Andy Dalton,,,A.J. Green,,,,,Cardinals
Marcus Mariota,,,Brandin Cooks,,,,,Browns
Marcus Mariota,DeAngelo Williams,,,,,,,Browns
Eli Manning,Tevin Coleman,,Odell Beckham Jr.,,,,,Patriots
Eli Manning,Tevin Coleman,,Rueben Randle,,,,,Eagles
Andy Dalton,Isaiah Crowell,,A.J. Green,,,,,Patriots
Andy Dalton,,,Brandin Cooks,,,Tyler Eifert,,Eagles
