"Id","Position","First.Name","Last.Name","FPPG","Played","Salary","Game","Team","Opponent","Injury.Indicator","Injury.Details","X","X.1"
11612,"WR","Antonio","Brown",23.8,1,9200,"SF@PIT","PIT","SF","","",NA,NA
6703,"RB","Adrian","Peterson",6.7,1,9000,"DET@MIN","MIN","DET","","",NA,NA
6899,"RB","Matt","Forte",25.1,1,8900,"ARI@CHI","CHI","ARI","","",NA,NA
14190,"WR","Julio","Jones",30.6,1,8800,"ATL@NYG","ATL","NYG","Q","Hamstring",NA,NA
31360,"WR","Odell","Beckham Jr.",6.9,1,8700,"ATL@NYG","NYG","ATL","","",NA,NA
14254,"RB","DeMarco","Murray",16,1,8300,"DAL@PHI","PHI","DAL","","",NA,NA
29253,"WR","Keenan","Allen",24.1,1,8200,"SD@CIN","SD","CIN","","",NA,NA
6655,"WR","Calvin","Johnson",4.9,1,8100,"DET@MIN","DET","MIN","","",NA,NA
16606,"WR","DeAndre","Hopkins",28.3,1,8100,"HOU@CAR","HOU","CAR","","",NA,NA
14187,"WR","A.J.","Green",8.8,1,8100,"SD@CIN","CIN","SD","","",NA,NA
30968,"RB","Eddie","Lacy",16.9,1,8100,"SEA@GB","GB","SEA","","",NA,NA
14211,"RB","Mark","Ingram",16.2,1,8000,"TB@NO","NO","TB","","",NA,NA
6826,"QB","Eli","Manning",8.5,1,8000,"ATL@NYG","NYG","ATL","","",NA,NA
14231,"QB","Colin","Kaepernick",10.7,1,7800,"SF@PIT","SF","PIT","","",NA,NA
6748,"QB","Carson","Palmer",25.7,1,7800,"ARI@CHI","ARI","CHI","","",NA,NA
22031,"WR","T.Y.","Hilton",12.3,1,7600,"NYJ@IND","IND","NYJ","Q","Knee",NA,NA
6618,"WR","Roddy","White",10.4,1,7400,"ATL@NYG","ATL","NYG","","",NA,NA
29358,"QB","Marcus","Mariota",25,1,7400,"TEN@CLE","TEN","CLE","","",NA,NA
6732,"RB","DeAngelo","Williams",13.7,1,7400,"SF@PIT","PIT","SF","","",NA,NA
6759,"WR","Brandon","Marshall",15.2,1,7400,"NYJ@IND","NYJ","IND","","",NA,NA
22113,"RB","Alfred","Morris",12.1,1,7300,"STL@WAS","WAS","STL","","",NA,NA
22037,"RB","Lamar","Miller",8,1,7300,"MIA@JAC","MIA","JAC","","",NA,NA
30837,"WR","Jordan","Matthews",15.2,1,7000,"DAL@PHI","PHI","DAL","","",NA,NA
6840,"RB","Frank","Gore",4.1,1,7000,"NYJ@IND","IND","NYJ","","",NA,NA
14225,"QB","Andy","Dalton",18.9,1,6900,"SD@CIN","CIN","SD","","",NA,NA
6681,"WR","Andre","Johnson",4.4,1,6800,"NYJ@IND","IND","NYJ","","",NA,NA
6733,"RB","Jonathan","Stewart",10.1,1,6800,"HOU@CAR","CAR","HOU","P","Knee",NA,NA
31001,"WR","Amari","Cooper",7.2,1,6700,"BAL@OAK","OAK","BAL","","",NA,NA
6735,"WR","Steve","Smith",2.3,1,6700,"BAL@OAK","BAL","OAK","","",NA,NA
27776,"RB","Tevin","Coleman",8,1,6500,"ATL@NYG","ATL","NYG","","",NA,NA
29991,"RB","Bishop","Sankey",21.6,1,6500,"TEN@CLE","TEN","CLE","","",NA,NA
45889,"WR","Davante","Adams",7.9,1,6400,"SEA@GB","GB","SEA","","",NA,NA
31836,"WR","Terrance","Williams",8.5,1,6300,"DAL@PHI","DAL","PHI","","",NA,NA
54606,"WR","John","Brown",12.6,1,6200,"ARI@CHI","ARI","CHI","","",NA,NA
21957,"WR","Kendall","Wright",18.1,1,6100,"TEN@CLE","TEN","CLE","","",NA,NA
6448,"TE","Martellus","Bennett",14,1,6100,"ARI@CHI","CHI","ARI","","",NA,NA
31561,"WR","Donte","Moncrief",13.6,1,6000,"NYJ@IND","IND","NYJ","","",NA,NA
6641,"TE","Jason","Witten",22,1,6000,"DAL@PHI","DAL","PHI","","",NA,NA
11501,"WR","Eric","Decker",10.7,1,6000,"NYJ@IND","NYJ","IND","","",NA,NA
6914,"TE","Greg","Olsen",1.6,1,6000,"HOU@CAR","CAR","HOU","","",NA,NA
33557,"TE","Tyler","Eifert",26.9,1,5900,"SD@CIN","CIN","SD","","",NA,NA
54684,"RB","Isaiah","Crowell",4.3,1,5800,"TEN@CLE","CLE","TEN","","",NA,NA
6566,"RB","Chris","Johnson",3.7,1,5700,"ARI@CHI","ARI","CHI","","",NA,NA
22047,"TE","Ladarius","Green",15.9,1,5600,"SD@CIN","SD","CIN","","",NA,NA
14292,"TE","Jordan","Cameron",9.3,1,5500,"MIA@JAC","MIA","JAC","","",NA,NA
21999,"WR","Rueben","Randle",3.8,1,5400,"ATL@NYG","NYG","ATL","","",NA,NA
7222,"WR","James","Jones",19.1,1,5400,"SEA@GB","GB","SEA","","",NA,NA
6774,"WR","Pierre","Garcon",10.4,1,5400,"STL@WAS","WAS","STL","","",NA,NA
7900,"K","Stephen","Gostkowski",4,1,5200,"NE@BUF","NE","BUF","","",NA,NA
23045,"K","Justin","Tucker",10,1,5200,"BAL@OAK","BAL","OAK","","",NA,NA
14237,"TE","Kyle","Rudolph",7.8,1,5100,"DET@MIN","MIN","DET","","",NA,NA
6897,"K","Mason","Crosby",7,1,5100,"SEA@GB","GB","SEA","","",NA,NA
31280,"K","Cody","Parkey",6,1,5000,"DAL@PHI","PHI","DAL","","",NA,NA
14952,"K","Dan","Bailey",9,1,5000,"DAL@PHI","DAL","PHI","","",NA,NA
26094,"WR","Brandon","Coleman",12.1,1,5000,"TB@NO","NO","TB","","",NA,NA
6636,"K","Mike","Nugent",9,1,4800,"SD@CIN","CIN","SD","","",NA,NA
54705,"QB","Dustin","Vaughan",0,0,4800,"DAL@PHI","DAL","PHI","","",NA,NA
6768,"WR","Eddie","Royal",1.3,1,4800,"ARI@CHI","CHI","ARI","","",NA,NA
