QB,RB,RB,WR,WR,WR,TE,WR,DST
"Tyrod Taylor","Eddie Lacy","Jonathan Stewart","Sammy Watkins","A.J. Green","Amari Cooper","Jimmy Graham","Andre Johnson","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Jonathan Stewart","Sammy Watkins","A.J. Green","Amari Cooper","Jimmy Graham","Brandon Marshall","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Jamaal Charles","Sammy Watkins","Allen Robinson","Andre Johnson","Jimmy Graham","Brandon Marshall","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Jeremy Hill","Sammy Watkins","Amari Cooper","Andre Johnson","Jimmy Graham","Brandon Marshall","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Carlos Hyde","Sammy Watkins","A.J. Green","Allen Robinson","Jimmy Graham","Calvin Johnson","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Doug Martin","Sammy Watkins","A.J. Green","Allen Robinson","Jimmy Graham","Calvin Johnson","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Joseph Randle","Sammy Watkins","A.J. Green","Allen Robinson","Jimmy Graham","Calvin Johnson","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Melvin Gordon","Sammy Watkins","A.J. Green","Allen Robinson","Jimmy Graham","Calvin Johnson","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","T.J. Yeldon","Sammy Watkins","A.J. Green","Amari Cooper","Jimmy Graham","Calvin Johnson","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Chris Ivory","Sammy Watkins","A.J. Green","Andre Johnson","Jimmy Graham","Calvin Johnson","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Jonathan Stewart","Sammy Watkins","Allen Robinson","Andre Johnson","Jimmy Graham","Calvin Johnson","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Mark Ingram","Sammy Watkins","Amari Cooper","Andre Johnson","Jimmy Graham","Calvin Johnson","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Jonathan Stewart","Sammy Watkins","Allen Robinson","Brandon Marshall","Jimmy Graham","Calvin Johnson","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Mark Ingram","Sammy Watkins","Amari Cooper","Brandon Marshall","Jimmy Graham","Calvin Johnson","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Benny Cunningham","Sammy Watkins","A.J. Green","Amari Cooper","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Bishop Sankey","Sammy Watkins","A.J. Green","Amari Cooper","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Darren McFadden","Sammy Watkins","A.J. Green","Amari Cooper","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Chris Ivory","Sammy Watkins","Allen Robinson","Amari Cooper","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Ameer Abdullah","Sammy Watkins","Allen Robinson","Andre Johnson","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Carlos Hyde","Sammy Watkins","Allen Robinson","Andre Johnson","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Doug Martin","Sammy Watkins","Allen Robinson","Andre Johnson","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Giovani Bernard","Sammy Watkins","Allen Robinson","Andre Johnson","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Joseph Randle","Sammy Watkins","Allen Robinson","Andre Johnson","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Melvin Gordon","Sammy Watkins","Allen Robinson","Andre Johnson","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","T.J. Yeldon","Sammy Watkins","Amari Cooper","Andre Johnson","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Ameer Abdullah","Sammy Watkins","Allen Robinson","Brandon Marshall","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Carlos Hyde","Sammy Watkins","Allen Robinson","Brandon Marshall","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Doug Martin","Sammy Watkins","Allen Robinson","Brandon Marshall","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Giovani Bernard","Sammy Watkins","Allen Robinson","Brandon Marshall","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Joseph Randle","Sammy Watkins","Allen Robinson","Brandon Marshall","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Melvin Gordon","Sammy Watkins","Allen Robinson","Brandon Marshall","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","T.J. Yeldon","Sammy Watkins","Amari Cooper","Brandon Marshall","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Benny Cunningham","Sammy Watkins","Allen Robinson","Calvin Johnson","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Bishop Sankey","Sammy Watkins","Allen Robinson","Calvin Johnson","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Darren McFadden","Sammy Watkins","Allen Robinson","Calvin Johnson","Jimmy Graham","Demaryius Thomas","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Jamaal Charles","Sammy Watkins","Allen Robinson","Demaryius Thomas","Jimmy Graham","DeVante Parker","Philadelphia Eagles"
"Tyrod Taylor","Eddie Lacy","Jeremy Hill","Sammy Watkins","Amari Cooper","Demaryius Thomas","Jimmy Graham","DeVante Parker","Philadelphia Eagles"
