"QB","RB","RB","WR","WR","WR","TE","FLEX","DEF"
Matt Ryan,,,Davante Adams,Larry Fitzgerald,,,Julio Jones,Indianapolis Colts
Matt Ryan,,,Davante Adams,Keenan Allen,,,Julio Jones,Seattle Seahawks
Matt Ryan,,,Larry Fitzgerald,Keenan Allen,,,Julio Jones,Green Bay Packers
Russell Wilson,,,Davante Adams,Larry Fitzgerald,,Jimmy Graham,,Indianapolis Colts
Russell Wilson,,,Davante Adams,Keenan Allen,,Jimmy Graham,,Philadelphia Eagles
Russell Wilson,,,Larry Fitzgerald,Keenan Allen,,Jimmy Graham,,Green Bay Packers
Eli Manning,,,Davante Adams,Larry Fitzgerald,,,Odell Beckham Jr.,Seattle Seahawks
Eli Manning,,,Davante Adams,Keenan Allen,,,Odell Beckham Jr.,Indianapolis Colts
Eli Manning,,,Larry Fitzgerald,Keenan Allen,,,Odell Beckham Jr.,Green Bay Packers
Eli Manning,,,Dez Bryant,Larry Fitzgerald,,,Rueben Randle,Indianapolis Colts
Eli Manning,,,Davante Adams,,,Jason Witten,Rueben Randle,Indianapolis Colts
Ryan Tannehill,,,Davante Adams,,,Martellus Bennett,Nelson Agholor,Indianapolis Colts
Tony Romo,,,Davante Adams,Larry Fitzgerald,,,Dez Bryant,Indianapolis Colts
Tony Romo,,,Davante Adams,Keenan Allen,,,Dez Bryant,Seattle Seahawks
Tony Romo,,,Davante Adams,Rueben Randle,,,Dez Bryant,Seattle Seahawks
Matthew Stafford,,,Calvin Johnson,Keenan Allen,,Jimmy Graham,,Green Bay Packers
Sam Bradford,,,Larry Fitzgerald,Keenan Allen,,,Jordan Matthews,Green Bay Packers
Sam Bradford,Tevin Coleman,,Davante Adams,,,,Jordan Matthews,Seattle Seahawks
Sam Bradford,Tevin Coleman,,Larry Fitzgerald,,,,Nelson Agholor,Green Bay Packers
Tyrod Taylor,DeMarco Murray,,Davante Adams,Sammy Watkins,,,,Indianapolis Colts
Tyrod Taylor,Eddie Lacy,,Sammy Watkins,,,Jordan Reed,,Seattle Seahawks



